Question_ID,Questions,Answers
0,"hi, how are you doing?",i'm fine. how about yourself?
1,i'm fine. how about yourself?,i'm pretty good. thanks for asking.
2,i'm pretty good. thanks for asking.,no problem. so how have you been?
3,no problem. so how have you been?,i've been great. what about you?
4,i've been great. what about you?,i've been good. i'm in school right now.
5,i've been good. i'm in school right now.,what school do you go to?
6,what school do you go to?,i go to pcc.
7,i go to pcc.,do you like it there?
8,do you like it there?,it's okay. it's a really big campus.
9,it's okay. it's a really big campus.,good luck with school.
10,good luck with school.,thank you very much.
11,how's it going?,i'm doing well. how about you?
12,i'm doing well. how about you?,"never better, thanks."
13,"never better, thanks.",so how have you been lately?
14,so how have you been lately?,i've actually been pretty good. you?
15,i've actually been pretty good. you?,i'm actually in school right now.
16,i'm actually in school right now.,which school do you attend?
17,which school do you attend?,i'm attending pcc right now.
18,i'm attending pcc right now.,are you enjoying it there?
19,are you enjoying it there?,it's not bad. there are a lot of people there.
20,it's not bad. there are a lot of people there.,good luck with that.
21,good luck with that.,thanks.
22,how are you doing today?,i'm doing great. what about you?
23,i'm doing great. what about you?,"i'm absolutely lovely, thank you."
24,"i'm absolutely lovely, thank you.",everything's been good with you?
25,everything's been good with you?,i haven't been better. how about yourself?
26,i haven't been better. how about yourself?,i started school recently.
27,i started school recently.,where are you going to school?
28,where are you going to school?,i'm going to pcc.
29,i'm going to pcc.,how do you like it so far?
30,how do you like it so far?,i like it so far. my classes are pretty good right now.
31,i like it so far. my classes are pretty good right now.,i wish you luck.
32,it's an ugly day today.,i know. i think it may rain.
33,i know. i think it may rain.,"it's the middle of summer, it shouldn't rain today."
34,"it's the middle of summer, it shouldn't rain today.",that would be weird.
35,that would be weird.,"yeah, especially since it's ninety degrees outside."
36,"yeah, especially since it's ninety degrees outside.","i know, it would be horrible if it rained and it was hot outside."
37,"i know, it would be horrible if it rained and it was hot outside.","yes, it would be. "
38,"yes, it would be. ",i really wish it wasn't so hot every day. 
39,i really wish it wasn't so hot every day. ,me too. i can't wait until winter.
40,me too. i can't wait until winter.,"i like winter too, but sometimes it gets too cold."
41,"i like winter too, but sometimes it gets too cold.",i'd rather be cold than hot.
42,i'd rather be cold than hot.,me too.
43,it doesn't look very nice outside today.,you're right. i think it's going to rain later.
44,you're right. i think it's going to rain later.,"in the middle of the summer, it shouldn't be raining."
45,"in the middle of the summer, it shouldn't be raining.",that wouldn't seem right.
46,that wouldn't seem right.,"considering that it's over ninety degrees outside, that would be weird."
47,"considering that it's over ninety degrees outside, that would be weird.","exactly, it wouldn't be nice if it started raining. it's too hot."
48,"exactly, it wouldn't be nice if it started raining. it's too hot.","i know, you're absolutely right."
49,"i know, you're absolutely right.",i wish it would cool off one day.
50,i wish it would cool off one day.,"that's how i feel, i want winter to come soon."
51,"that's how i feel, i want winter to come soon.","i enjoy the winter, but it gets really cold sometimes."
52,"i enjoy the winter, but it gets really cold sometimes.","i know what you mean, but i'd rather be cold than hot."
53,"i know what you mean, but i'd rather be cold than hot.",that's exactly how i feel.
54,i wish it was a nicer day today.,that is true. i hope it doesn't rain.
55,that is true. i hope it doesn't rain.,it wouldn't rain in the middle of the summer.
56,it wouldn't rain in the middle of the summer.,it wouldn't seem right if it started raining right now.
57,it wouldn't seem right if it started raining right now.,it would be weird if it started raining in ninety degree weather.
58,it would be weird if it started raining in ninety degree weather.,any rain right now would be pointless.
59,any rain right now would be pointless.,"that's right, it really would be."
60,"that's right, it really would be.",i want it to cool down some.
61,i want it to cool down some.,"i know what you mean, i can't wait until it's winter."
62,"i know what you mean, i can't wait until it's winter.",winter is great. i wish it didn't get so cold sometimes though.
63,winter is great. i wish it didn't get so cold sometimes though.,i would rather deal with the winter than the summer.
64,it's such a nice day.,"yes, it is."
65,"yes, it is.",it looks like it may rain soon.
66,it looks like it may rain soon.,"yes, and i hope that it does."
67,"yes, and i hope that it does.",why is that?
68,why is that?,i really love how rain clears the air.
69,i really love how rain clears the air.,me too. it always smells so fresh after it rains.
70,me too. it always smells so fresh after it rains.,"yes, but i love the night air after it rains."
71,"yes, but i love the night air after it rains.",really? why is it?
72,really? why is it?,because you can see the stars perfectly.
